dataflow,op_type,chiplet,batch_size,latency_us,energy_uJ,EDP,best_RU,is_compute_bound
D³ (ours),ffn_up,DC,1,345.605,76376.7978778626,26396203.230578706,IRU,True
D³ (ours),ffn_down,DC,1,345.605,86102.14016793894,29757330.152740538,ORU,True
D³ (ours),qkv_proj,DC,1,89.60499999999999,19831.830549618317,1777031.176398549,IRU,True
D³ (ours),o_proj,DC,1,64.005,14177.333816793891,907420.2509438929,IRU,True
D³ (ours),ffn_up,DC,4,1382.40625,299020.6874847328,413368067.25819147,IRU,True
D³ (ours),ffn_down,DC,4,1382.4099999999999,327116.92326717556,452209705.8937761,ORU,True
D³ (ours),qkv_proj,DC,4,358.40625,77643.45633969466,27827900.02374869,IRU,True
D³ (ours),o_proj,DC,4,256.00625,55505.733225190845,14209814.616481515,IRU,True
TETRIS,ffn_up,DC,1,346.275,75439.58429007634,26122842.050046183,ARU,True
TETRIS,ffn_down,DC,1,346.275,75439.58429007634,26122842.050046183,ARU,True
TETRIS,qkv_proj,DC,1,89.95,19625.506656488553,1765314.3237511453,ARU,True
TETRIS,o_proj,DC,1,64.25,14029.653893129773,901405.2626335879,ARU,True
TETRIS,ffn_up,DC,4,1393.2,300249.95639694657,418308239.252226,ARU,True
TETRIS,ffn_down,DC,4,1393.2,300249.95639694657,418308239.252226,ARU,True
TETRIS,qkv_proj,DC,4,359.52,77601.64494656488,27899343.391189,ARU,True
TETRIS,o_proj,DC,4,256.8,55475.48580152672,14246104.75383206,ARU,True
TS,ffn_up,DC,1,345.6015625,76376.0622528626,26395686.452186584,IRU,True
TS,ffn_down,DC,1,345.616875,76379.3391278626,26397988.503937095,IRU,True
TS,qkv_proj,DC,1,89.6015625,19831.09492461832,1776897.0913316212,IRU,True
TS,o_proj,DC,1,64.0015625,14176.598191793893,907324.435209484,IRU,True
TS,ffn_up,DC,4,1382.4125,299022.0249847328,413371785.1142069,IRU,True
TS,ffn_down,DC,4,1382.43375,299026.5724847328,413384425.9497159,IRU,True
TS,qkv_proj,DC,4,358.4125,77644.79383969466,27828864.67206956,IRU,True
TS,o_proj,DC,4,256.01250000000005,55507.070725190846,14210503.944032924,IRU,True
ARU,ffn_up,DC,1,346.275,75439.58429007634,26122842.050046183,ARU,True
ARU,ffn_down,DC,1,346.275,75439.58429007634,26122842.050046183,ARU,True
ARU,qkv_proj,DC,1,89.95,19625.506656488553,1765314.3237511453,ARU,True
ARU,o_proj,DC,1,64.25,14029.653893129773,901405.2626335879,ARU,True
ARU,ffn_up,DC,4,1393.2,300249.95639694657,418308239.252226,ARU,True
ARU,ffn_down,DC,4,1393.2,300249.95639694657,418308239.252226,ARU,True
ARU,qkv_proj,DC,4,359.52,77601.64494656488,27899343.391189,ARU,True
ARU,o_proj,DC,4,256.8,55475.48580152672,14246104.75383206,ARU,True
